video_id,seq,name_on_video,phase_on_video,start_sec,end_sec,duration_sec
In2fsTmsggw,12,레터럴레이즈,,856,908,52
In2fsTmsggw,13,'칼로리 폭탄' 운동,,910,960,50
MP2Ze9RrZA0,1,날쌘돌이 되어요,,32,90,58
MP2Ze9RrZA0,2,쌀 보리 해봐요,,90,150,60
MP2Ze9RrZA0,3,높이 멀리 뛰어요,,186,230,44
MP2Ze9RrZA0,4,셋 하면 출발해요,,232,292,60
MP2Ze9RrZA0,5,개구리 점프해요,,292,330,38
MP2Ze9RrZA0,6,허수아비가 되어요,,360,448,88
MP2Ze9RrZA0,7,중심을 잡아요,,448,518,70
MP2Ze9RrZA0,8,팔 펴고 박수쳐요,,552,610,58
MP2Ze9RrZA0,9,머리 어깨 무릎 발 해요,,610,674,64
OpnELu5j4nk,1,어깨 스트레칭 해요,,30,270,240
OpnELu5j4nk,2,어깨 스트레칭 해요,,324,480,156
OpnELu5j4nk,3,다리 넓혀 전국자세 해요,,484,534,50
OpnELu5j4nk,4,크로스 오버해요,,560,682,122
OxtY_hEQzIM,1,밴드를 당겨요,,6,100,94
OxtY_hEQzIM,2,빌리보를 밀어요,,104,154,50
OxtY_hEQzIM,3,끌어요 당겨요,,158,224,66
OxtY_hEQzIM,4,엉금엉금 기어요,,228,288,60
OxtY_hEQzIM,5,영차영차 올라요,,294,386,92
OxtY_hEQzIM,6,윗몸 말며 공을 전달해요,,392,456,64
P6UZsc2YqEM,1,뽁뽁이를 눌러요(손가락),,6,64,58
P6UZsc2YqEM,2,뽁뽁이를 밟아요(발가락),,68,126,58
P6UZsc2YqEM,3,딩딩링을 끼워요,,130,216,86
P6UZsc2YqEM,4,고무줄 놀이를 해요,,222,308,86
PTxUuItSAtY,1,H쪽으로 실시한다,준비운동,62,88,26
PTxUuItSAtY,2,양손을 대고 머리를 천천히 뒤로 젖힌다,정리운동,1020,1044,24
PTxUuItSAtY,3,팔꿈치를 좌측으로 천천히 당긴다,정리운동,1078,1098,20
QU-eRtSLsm0,1,하루 30분,,6,46,40
QU-eRtSLsm0,2,스트레칭,,48,288,240
QU-eRtSLsm0,3,호흡을 깊,본운동,350,378,28
QU-eRtSLsm0,4,브릿지 자세,본운동,378,448,70
QU-eRtSLsm0,5,사이드 점프,본운동,454,484,30
QU-eRtSLsm0,6,앞 뒤 점프,본운동,484,518,34
QU-eRtSLsm0,7,발 벌렸다 모으기 점프,본운동,520,554,34
QU-eRtSLsm0,8,한발 서서 버티기,본운동,560,604,44
QU-eRtSLsm0,9,종아리 들기 운동,본운동,612,646,34
QU-eRtSLsm0,10,다리 들었다 내리기 운동,본운동,652,688,36
QU-eRtSLsm0,11,하루 30분,본운동,690,712,22
RBKylbKM78k,1,인사 체조,,8,74,66
RBKylbKM78k,2,흔들어 체조,,74,152,78
RBKylbKM78k,3,거북이 스트레칭,,152,226,74
RBKylbKM78k,4,점핑점핑해요,,228,468,240
RBKylbKM78k,5,우리 모두 다 같이,,1198,1274,76
RBKylbKM78k,6,점핑점핑해요,,1278,1432,154
RBKylbKM78k,7,거북이 스트레칭,,1436,1510,74
Rt3tdifHbns,1,인사 체조,,8,74,66
Rt3tdifHbns,2,흔들어 체조,,74,152,78
Rt3tdifHbns,3,거북이 스트레칭,,152,226,74
Rt3tdifHbns,4,수박나라로 떠나요,본운동,228,468,240
Rt3tdifHbns,5,우리 모두 다 같이,본운동,1116,1192,76
Rt3tdifHbns,6,수박나라로 떠나요,본운동,1196,1436,240
Rt3tdifHbns,7,거북이 스트레칭,본운동,1588,1662,74
SZefn91w66o,1,꼬리를 떼어요,,6,74,68
SZefn91w66o,2,알을 낳아요,,80,132,52
SZefn91w66o,3,줄넘기 해요(줄없는),,138,190,52
SZefn91w66o,4,공을 옮겨요(앞),,194,352,158
SZefn91w66o,5,후굴자세 해봐요,,356,448,92
TXE6Y_FpayU,1,'키 쑥쑥' 스트레칭,,10,50,40
TXE6Y_FpayU,2,나비자세,,50,104,54
TXE6Y_FpayU,3,옆구리 늘리기,,124,198,74
TXE6Y_FpayU,4,코브라 자서,,216,246,30
TXE6Y_FpayU,5,코브리,,246,270,24
TXE6Y_FpayU,6,등근육 스트레츠,,286,338,52
