age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,25,29,세,M,순발력,041,성인체공시간,초,0,ok,9363,9363,ecdf,1,0.415,0.52,0.559,0.591,0.673,0.1,0.999,13.88,40.0,60.9,82.43,93.88,58.34
성인,25,29,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,21036,21036,ecdf,0,-4.7,9.1,13.8,18.5,29.6,-30.0,46.0,25.63,51.88,75.01,89.05,96.2,67.84
성인,25,29,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,21039,21039,ecdf,0,3.0,21.0,27.0,33.0,49.0,0.0,71.0,14.3,40.0,63.37,85.19,95.03,59.43
성인,25,29,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,3583,3583,ecdf,0,5.0,17.0,23.0,28.0,44.0,0.0,63.0,12.56,40.0,60.0,82.65,93.27,57.63
성인,25,29,세,F,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,3925,0,,,,,,,,9.687,60.0,,,,,,
성인,25,29,세,F,순발력,022,제자리멀리뛰기,cm,0,anchors_not_monotonic,11711,0,,,,,,,,0.0,264.0,,,,,,
성인,25,29,세,F,근력,028,상대악력,%,0,ok,21576,21576,ecdf,0,33.1,38.2,42.6,47.0,67.3,0.0,90.6,46.84,69.24,84.9,92.79,97.49,77.58
성인,25,29,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,4400,4400,ecdf,0,30.8,32.2,34.1,36.0,44.5,15.8,55.9,62.9,81.31,87.81,94.31,97.96,83.23
성인,25,29,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,13571,13571,ecdf,0,29.84,32.2,34.1,36.0,42.6,13.8,52.7,50.37,70.98,85.12,92.83,97.54,78.72
성인,25,29,세,F,민첩성,040,반응시간,초,1,ok,17077,17077,ecdf,1,-0.518,-0.401,-0.383,-0.343,-0.275,0.05,1.999,13.84,40.0,68.31,84.05,94.45,61.14
성인,25,29,세,F,순발력,041,성인체공시간,초,0,ok,9286,9286,ecdf,1,0.349,0.421,0.442,0.466,0.539,0.005,0.669,14.03,40.0,64.5,84.17,94.41,59.74
