age_group,sex,age,grade,n,ratio
성인,M,57,2등급,290,0.1684
성인,M,57,3등급,362,0.2102
성인,M,57,참가,359,0.2085
성인,M,58,1등급,118,0.075
성인,M,58,2등급,240,0.1526
성인,M,58,3등급,337,0.2142
성인,M,58,참가,357,0.227
성인,M,59,1등급,132,0.067
성인,M,59,2등급,311,0.1579
성인,M,59,3등급,464,0.2357
성인,M,59,참가,410,0.2082
성인,M,60,1등급,440,0.1102
성인,M,60,2등급,943,0.2362
성인,M,60,3등급,893,0.2236
성인,M,60,참가,740,0.1853
성인,M,61,1등급,322,0.1021
성인,M,61,2등급,731,0.2318
성인,M,61,3등급,714,0.2264
성인,M,61,참가,565,0.1791
성인,M,62,1등급,296,0.0907
성인,M,62,2등급,794,0.2433
성인,M,62,3등급,742,0.2274
성인,M,62,참가,603,0.1848
성인,M,63,1등급,303,0.088
성인,M,63,2등급,810,0.2353
성인,M,63,3등급,794,0.2306
성인,M,63,참가,656,0.1905
성인,M,64,1등급,257,0.0753
성인,M,64,2등급,770,0.2256
성인,M,64,3등급,805,0.2359
성인,M,64,참가,742,0.2174
어르신,F,65,1등급,331,0.0921
어르신,F,65,2등급,839,0.2334
어르신,F,65,3등급,1017,0.2829
어르신,F,65,참가,448,0.1246
어르신,F,66,1등급,295,0.1014
어르신,F,66,2등급,642,0.2208
어르신,F,66,3등급,737,0.2534
어르신,F,66,참가,403,0.1386
어르신,F,67,1등급,251,0.089
어르신,F,67,2등급,588,0.2086
어르신,F,67,3등급,695,0.2465
어르신,F,67,참가,413,0.1465
어르신,F,68,1등급,202,0.0723
어르신,F,68,2등급,527,0.1888
어르신,F,68,3등급,741,0.2654
어르신,F,68,참가,442,0.1583
어르신,F,69,1등급,192,0.0704
어르신,F,69,2등급,504,0.1848
어르신,F,69,3등급,638,0.234
어르신,F,69,참가,464,0.1702
어르신,F,70,1등급,283,0.1117
어르신,F,70,2등급,584,0.2305
어르신,F,70,3등급,625,0.2466
어르신,F,70,참가,333,0.1314
어르신,F,71,1등급,274,0.1114
어르신,F,71,2등급,537,0.2184
어르신,F,71,3등급,588,0.2391
어르신,F,71,참가,311,0.1265
어르신,F,72,1등급,222,0.0941
어르신,F,72,2등급,537,0.2275
어르신,F,72,3등급,578,0.2449
어르신,F,72,참가,381,0.1614
어르신,F,73,1등급,172,0.0832
어르신,F,73,2등급,418,0.2022
어르신,F,73,3등급,471,0.2279
어르신,F,73,참가,327,0.1582
어르신,F,74,1등급,130,0.0668
어르신,F,74,2등급,363,0.1866
어르신,F,74,3등급,451,0.2319
어르신,F,74,참가,383,0.1969
어르신,F,75,1등급,290,0.1536
어르신,F,75,2등급,431,0.2283
어르신,F,75,3등급,431,0.2283
어르신,F,75,참가,287,0.152
어르신,F,76,1등급,264,0.1404
어르신,F,76,2등급,425,0.2261
어르신,F,76,3등급,399,0.2122
어르신,F,76,참가,284,0.1511
어르신,F,77,1등급,211,0.1175
어르신,F,77,2등급,352,0.196
어르신,F,77,3등급,384,0.2138
어르신,F,77,참가,294,0.1637
어르신,F,78,1등급,134,0.0864
어르신,F,78,2등급,298,0.1921
어르신,F,78,3등급,294,0.1896
어르신,F,78,참가,274,0.1767
어르신,F,79,1등급,90,0.0689
어르신,F,79,2등급,205,0.1568
어르신,F,79,3등급,268,0.205
어르신,F,79,참가,257,0.1966
어르신,F,80,1등급,138,0.1345
어르신,F,80,2등급,202,0.1969
어르신,F,80,3등급,195,0.1901
어르신,F,80,참가,173,0.1686
어르신,F,81,1등급,125,0.122
어르신,F,81,2등급,178,0.1737
어르신,F,81,3등급,196,0.1912
어르신,F,81,참가,202,0.1971
어르신,F,82,1등급,88,0.1
어르신,F,82,2등급,151,0.1716
어르신,F,82,3등급,159,0.1807
어르신,F,82,참가,209,0.2375
어르신,F,83,1등급,64,0.0744
어르신,F,83,2등급,136,0.1581
어르신,F,83,3등급,131,0.1523
어르신,F,83,참가,205,0.2384
어르신,F,84,1등급,31,0.0473
어르신,F,84,2등급,82,0.125
어르신,F,84,3등급,110,0.1677
어르신,F,84,참가,148,0.2256
어르신,F,85,1등급,47,0.0841
어르신,F,85,2등급,99,0.1771
어르신,F,85,3등급,85,0.1521
어르신,F,85,참가,127,0.2272
어르신,F,86,1등급,38,0.0793
어르신,F,86,2등급,60,0.1253
어르신,F,86,3등급,65,0.1357
어르신,F,86,참가,115,0.2401
어르신,F,87,1등급,21,0.0598
어르신,F,87,2등급,42,0.1197
어르신,F,87,3등급,50,0.1425
어르신,F,87,참가,82,0.2336
어르신,F,88,1등급,12,0.0463
어르신,F,88,2등급,31,0.1197
어르신,F,88,3등급,34,0.1313
어르신,F,88,참가,68,0.2625
어르신,F,89,1등급,3,0.0157
어르신,F,89,2등급,17,0.089
어르신,F,89,3등급,20,0.1047
어르신,F,89,참가,55,0.288
어르신,F,90,1등급,8,0.0556
어르신,F,90,2등급,7,0.0486
어르신,F,90,3등급,12,0.0833
어르신,F,90,참가,51,0.3542
